codigo_localidad:nombre_localidad:nombre_provincia:latitud:longitud
130840001:"Torre de Juan Abad":"Ciudad Real":38,5849156:-3,0607501
130850001:Torrenueva:"Ciudad Real":38,6389226:-3,3615643
130870001:"Valdepeñas":"Ciudad Real":38,760524:-3,3876074
130880001:"Valenzuela de Calatrava":"Ciudad Real":38,8525648:-3,7727167
130340004:Valverde:"Ciudad Real":38,9642038:-4,0408071
130890002:Villahermosa:"Ciudad Real":38,7500937:-2,8714275
130900001:Villamanrique:"Ciudad Real":38,5452068:-2,9988098
130910001:"Villamayor de Calatrava":"Ciudad Real":38,7880386:-4,1373026
130920001:"Villanueva de la Fuente":"Ciudad Real":38,6927648:-2,6959016
130930001:"Villanueva de los Infantes":"Ciudad Real":38,7340294:-3,0115714
130960001:"Villarrubia de los Ojos":"Ciudad Real":39,2192153:-3,6076661
130970001:"Villarta de San Juan":"Ciudad Real":39,2381177:-3,4208141
130980008:"Viso del Marques":"Ciudad Real":38,5215968:-3,562291
160070001:"La Alberca de Zancara":Cuenca:39,5141295:-2,4925685
160270001:"Barajas de Melo":Cuenca:40,123411:-2,9157229
160330001:Belmonte:Cuenca:39,5579559:-2,7055583
160350001:Beteta:Cuenca:40,5726489:-2,0758703
160420001:"Campillo de Altobuey":Cuenca:39,6108783:-1,7964943
160480001:"Cañamares":Cuenca:40,4510067:-2,2402728
160500001:"Cañaveras":Cuenca:40,358757:-2,3955568
160520001:"Cañete":Cuenca:40,0426612:-1,6481392
160550001:"Carboneras de Guadazaon":Cuenca:39,8965608:-1,808677
160600002:"Casas de Benitez":Cuenca:39,3611204:-2,1283688
160610001:"Casas de Fernando Alonso":Cuenca:39,3506306:-2,32586
160660001:Casasimarro:Cuenca:39,3896866:-2,0383407
160780003:Cuenca:Cuenca:40,0703925:-2,1374162
160860001:"Fuente de Pedro Naharro":Cuenca:39,9230123:-3,0113166
160960001:"Graja de Iniesta":Cuenca:39,5171704:-1,6699958
161000001:"Los Hinojosos":Cuenca:39,6033606:-2,8265503
161020001:Honrubia:Cuenca:39,6127213:-2,2815069
161060001:"Horcajo de Santiago":Cuenca:39,8437122:-2,9988098
161120005:Huete:Cuenca:40,1435735:-2,6896893
161130003:Iniesta:Cuenca:39,4408362:-1,7492463
161170001:Landete:Cuenca:39,9077196:-1,367422
